Date,Description,Amount
01-01-2025,Salary Credit TCS,+65000
02-01-2025,Rent Payment Landlord,-28000
03-01-2025,Electricity Bill BESCOM,-2400
04-01-2025,Swiggy Order,-720
05-01-2025,Amazon Purchase,-6499
06-01-2025,Netflix Subscription,-649
07-01-2025,Zomato Order,-880
08-01-2025,Uber Ride,-540
09-01-2025,Myntra Shopping,-4200
11-01-2025,Amazon Prime Subscription,-179
12-01-2025,Swiggy Order,-660
14-01-2025,Hotstar Subscription,-299
15-01-2025,Water Bill,-620
16-01-2025,Spotify Subscription,-119
18-01-2025,Zomato Order,-940
20-01-2025,Flipkart Purchase,-8999
22-01-2025,Ola Ride,-480
24-01-2025,BookMyShow Movie,-1200
26-01-2025,Gas Bill Indane,-1150
28-01-2025,Swiggy Order,-780
30-01-2025,Amazon Purchase,-3499
01-02-2025,Salary Credit TCS,+65000
02-02-2025,Rent Payment Landlord,-28000
03-02-2025,Electricity Bill BESCOM,-2600
04-02-2025,Swiggy Order,-810
05-02-2025,Amazon Purchase,-5299
06-02-2025,Netflix Subscription,-649
08-02-2025,Zomato Order,-920
09-02-2025,Uber Ride,-610
10-02-2025,Myntra Shopping,-3800
11-02-2025,Amazon Prime Subscription,-179
13-02-2025,Swiggy Order,-700
14-02-2025,Valentine Dinner Fine Dining Restaurant,-6500
15-02-2025,Water Bill,-620
16-02-2025,Spotify Subscription,-119
17-02-2025,Hotstar Subscription,-299
19-02-2025,Zomato Order,-1020
21-02-2025,Flipkart Purchase,-4599
23-02-2025,Ola Ride,-520
25-02-2025,BookMyShow Movie,-980
27-02-2025,Gas Bill Indane,-1150
28-02-2025,Swiggy Order,-840
01-03-2025,Salary Credit TCS,+65000
02-03-2025,Rent Payment Landlord,-28000
03-03-2025,Electricity Bill BESCOM,-2500
04-03-2025,Swiggy Order,-760
06-03-2025,Amazon Purchase,-7299
07-03-2025,Netflix Subscription,-649
08-03-2025,Zomato Order,-950
10-03-2025,Uber Ride,-580
11-03-2025,Amazon Prime Subscription,-179
12-03-2025,Myntra Shopping,-5200
14-03-2025,Hotstar Subscription,-299
15-03-2025,Water Bill,-620
16-03-2025,Spotify Subscription,-119
17-03-2025,Goa Trip MakeMyTrip,-18500
19-03-2025,Zomato Order,-870
21-03-2025,Ajio Shopping,-3299
23-03-2025,Ola Ride,-460
25-03-2025,BookMyShow Movie,-1100
27-03-2025,Gas Bill Indane,-1150
29-03-2025,Swiggy Order,-790
31-03-2025,Amazon Purchase,-2899
01-04-2025,Salary Credit TCS,+65000
02-04-2025,Rent Payment Landlord,-28000
03-04-2025,Electricity Bill BESCOM,-2550
04-04-2025,Swiggy Order,-830
06-04-2025,Amazon Purchase,-4999
07-04-2025,Netflix Subscription,-649
08-04-2025,Zomato Order,-910
10-04-2025,Uber Ride,-600
11-04-2025,Amazon Prime Subscription,-179
12-04-2025,Myntra Shopping,-4400
14-04-2025,Hotstar Subscription,-299
15-04-2025,Water Bill,-620
16-04-2025,Spotify Subscription,-119
18-04-2025,Zomato Order,-980
20-04-2025,Flipkart Purchase,-6799
22-04-2025,Ola Ride,-510
24-04-2025,BookMyShow Movie,-1050
26-04-2025,Gas Bill Indane,-1150
28-04-2025,Swiggy Order,-870
30-04-2025,Amazon Purchase,-3199
