Date,Description,Amount
01-01-2025,Salary Credit Infosys,+85000
02-01-2025,Rent Payment Landlord,-22000
03-01-2025,Electricity Bill BESCOM,-1850
05-01-2025,Swiggy Order,-560
06-01-2025,Amazon Purchase,-2499
08-01-2025,Netflix Subscription,-649
09-01-2025,Uber Ride,-320
11-01-2025,Zomato Order,-480
13-01-2025,Amazon Prime Subscription,-179
15-01-2025,Water Bill,-450
17-01-2025,Swiggy Order,-720
19-01-2025,Ola Ride,-260
21-01-2025,Big Basket Groceries,-3200
23-01-2025,Hotstar Subscription,-299
25-01-2025,Zomato Order,-640
27-01-2025,Gas Bill Indane,-1100
28-01-2025,Amazon Purchase,-1299
30-01-2025,Swiggy Order,-390
01-02-2025,Salary Credit Infosys,+85000
02-02-2025,Rent Payment Landlord,-22000
03-02-2025,Electricity Bill BESCOM,-2100
04-02-2025,Swiggy Order,-610
06-02-2025,Amazon Purchase,-4599
07-02-2025,Netflix Subscription,-649
09-02-2025,Uber Ride,-410
10-02-2025,Zomato Order,-520
13-02-2025,Amazon Prime Subscription,-179
14-02-2025,Valentine Dinner Zomato,-1850
15-02-2025,Water Bill,-450
16-02-2025,Ola Ride,-300
18-02-2025,Big Basket Groceries,-3600
20-02-2025,Hotstar Subscription,-299
22-02-2025,Swiggy Order,-680
24-02-2025,Uber Ride,-350
26-02-2025,Gas Bill Indane,-1100
27-02-2025,Amazon Purchase,-899
28-02-2025,Zomato Order,-560
01-03-2025,Salary Credit Infosys,+85000
02-03-2025,Rent Payment Landlord,-22000
03-03-2025,Electricity Bill BESCOM,-1950
05-03-2025,Swiggy Order,-590
07-03-2025,Amazon Purchase,-2799
08-03-2025,Netflix Subscription,-649
10-03-2025,Uber Ride,-380
12-03-2025,Zomato Order,-500
13-03-2025,Amazon Prime Subscription,-179
15-03-2025,Water Bill,-450
16-03-2025,Flight Booking MakeMyTrip,-12500
18-03-2025,Big Basket Groceries,-3100
20-03-2025,Hotstar Subscription,-299
22-03-2025,Swiggy Order,-640
24-03-2025,Ola Ride,-290
26-03-2025,Gas Bill Indane,-1100
27-03-2025,Amazon Purchase,-1599
29-03-2025,Zomato Order,-610
31-03-2025,Swiggy Order,-430
01-04-2025,Salary Credit Infosys,+85000
02-04-2025,Rent Payment Landlord,-22000
03-04-2025,Electricity Bill BESCOM,-2250
05-04-2025,Swiggy Order,-620
07-04-2025,Amazon Purchase,-3299
08-04-2025,Netflix Subscription,-649
10-04-2025,Uber Ride,-360
12-04-2025,Zomato Order,-540
13-04-2025,Amazon Prime Subscription,-179
15-04-2025,Water Bill,-450
17-04-2025,Big Basket Groceries,-3400
19-04-2025,Ola Ride,-310
20-04-2025,Hotstar Subscription,-299
22-04-2025,Swiggy Order,-700
24-04-2025,Uber Ride,-340
26-04-2025,Gas Bill Indane,-1100
28-04-2025,Amazon Purchase,-1899
30-04-2025,Zomato Order,-580
